cell,phase,spec_a,spec_b,n_genes,spearman_logFC,pearson_logFC,spearman_rankmetric,pct_same_sign_logFC
TCD8_cells,pre,dep,A0,2646,-0.10090648843983041,-0.2513593122429855,-0.08293690672446434,48.90400604686319
TCD8_cells,pre,dep,A,2646,-0.11285187317977487,-0.2624878409111556,-0.10460680773117222,48.63945578231292
TCD8_cells,pre,dep,B,2644,0.16280778966223833,0.17135750091173557,0.15824007402414883,56.95915279878972
TCD8_cells,pre,dep,T,2646,-0.10378870988733399,-0.1709996836638324,-0.09259644683981637,48.90400604686319
TCD8_cells,pre,A0,A,2646,0.9835422572374133,0.9852996313916116,0.9726626217543588,95.12471655328798
TCD8_cells,pre,A0,B,2644,0.6126950777503416,0.4792796631797702,0.6312464452964466,76.13464447806354
TCD8_cells,pre,A0,T,2646,0.9613000029768137,0.8870365949411753,0.9857440360373637,100.0
TCD8_cells,pre,A,B,2644,0.6084252391516596,0.46697295306124664,0.6204708621001065,77.38275340393344
TCD8_cells,pre,A,T,2646,0.9631090117003674,0.8695069307459545,0.9833860799032955,95.12471655328798
TCD8_cells,pre,B,T,2644,0.6316349259736657,0.4785174946685954,0.6483151413221211,76.13464447806354
TCD8_cells,post,dep,A0,2165,0.28096900653131696,0.4118503768814496,0.27010643001902446,56.35103926096998
TCD8_cells,post,dep,A,2165,0.2219020221915285,0.3861272738819378,0.21751244449069923,55.42725173210161
TCD8_cells,post,dep,B,2163,0.16747730349185336,0.2990727734984875,0.18903911874444576,54.276467868700884
TCD8_cells,post,dep,T,2165,0.2674145184292007,0.30784033108251085,0.2751029727512572,56.30484988452656
TCD8_cells,post,A0,A,2165,0.9326331807857953,0.9440483089622385,0.9114575933852231,76.905311778291
TCD8_cells,post,A0,B,2163,0.8785312347822466,0.8741123152962242,0.8667732835288098,74.71104946833103
TCD8_cells,post,A0,T,2165,0.9568504815087759,0.8343874269295501,0.9651278473650661,99.95381062355658
TCD8_cells,post,A,B,2163,0.9585463400360344,0.955890964737857,0.9548893703361814,95.0531668978271
TCD8_cells,post,A,T,2165,0.9490655751334887,0.8674335585197193,0.9538566790720256,76.85912240184759
TCD8_cells,post,B,T,2163,0.9046361331832866,0.829539253002651,0.9119696738720919,74.66481738326398
