x,y,cell_type
2.8055,19.10772,B cells
1.87694,18.59407,B cells
3.26963,18.49676,B cells
-0.04164,19.33336,B cells
2.22485,19.14157,B cells
1.59006,19.81025,B cells
1.75315,19.74038,B cells
1.84863,18.64923,B cells
1.34842,19.21129,B cells
0.08409,18.8989,B cells
2.35798,20.89425,B cells
2.60439,20.48889,B cells
0.99298,18.62755,B cells
2.6382,18.89349,B cells
1.17097,20.99381,B cells
2.39093,18.67058,B cells
2.89676,19.68924,B cells
2.0878,20.40863,B cells
3.28337,19.55994,B cells
1.82759,18.43746,B cells
3.98478,19.73776,B cells
2.67163,18.9169,B cells
1.06076,18.43858,B cells
2.60931,21.04035,B cells
2.2653,19.90909,B cells
0.85095,18.99974,B cells
2.33864,18.31072,B cells
3.78204,19.62172,B cells
3.08062,21.52452,B cells
2.0783,19.98338,B cells
-1.07813,16.96601,B cells
2.36668,18.59006,B cells
2.11602,18.68501,B cells
0.0244,19.0484,B cells
2.31163,18.81403,B cells
3.10581,21.3613,B cells
2.34043,18.27501,B cells
2.79923,20.3294,B cells
1.21709,17.98322,B cells
2.03223,18.87883,B cells
0.18523,18.82582,B cells
0.07122,18.1356,B cells
1.4131,18.37797,B cells
2.40592,18.76747,B cells
2.86687,19.30548,B cells
3.65705,20.12921,B cells
-0.87895,17.83061,B cells
1.81732,18.90432,B cells
-0.13621,17.857,B cells
0.71193,21.12852,B cells
2.13406,20.73323,B cells
1.78979,8.46264,B cells
1.61266,19.60665,B cells
0.78742,20.76772,B cells
1.86932,21.08315,B cells
0.03822,19.14213,B cells
1.64811,21.46866,B cells
3.2868,19.36777,B cells
0.41362,18.57856,B cells
1.8608,19.20865,B cells
1.53264,21.46715,B cells
2.46952,21.30956,B cells
1.85032,19.90427,B cells
2.86012,19.60786,B cells
1.23259,18.37353,B cells
1.82273,18.97751,B cells
1.29778,19.07037,B cells
1.11238,19.06364,B cells
2.68958,19.22032,B cells
2.47243,19.21041,B cells
2.9391,19.05251,B cells
1.96274,20.26257,B cells
2.39769,18.67503,B cells
1.23212,19.50118,B cells
3.0635,21.25999,B cells
1.8713,19.08022,B cells
2.79501,19.90904,B cells
2.33793,20.19989,B cells
2.61858,18.98296,B cells
3.32096,19.14057,B cells
1.05083,18.64239,B cells
0.55867,20.83017,B cells
0.67115,19.61414,B cells
2.98847,19.41016,B cells
-0.46016,19.8053,B cells
3.14627,18.62356,B cells
2.26952,18.18642,B cells
-1.10373,17.31659,B cells
0.90141,18.11002,B cells
3.29634,18.47369,B cells
2.33285,18.54428,B cells
2.2632,18.85455,B cells
3.63531,18.62058,B cells
1.325,20.91887,B cells
0.43569,18.42445,B cells
3.67977,20.6697,B cells
3.54309,19.68305,B cells
0.70534,17.44094,B cells
1.04968,19.24509,B cells
0.86672,18.88686,B cells
2.01596,18.56448,B cells
2.34074,19.37247,B cells
0.16594,18.98278,B cells
2.60482,19.3235,B cells
1.94301,18.78758,B cells
1.72397,20.35281,B cells
3.67646,19.15327,B cells
2.13434,18.38073,B cells
1.10648,18.49368,B cells
0.84856,18.59466,B cells
3.31844,19.47413,B cells
0.10829,18.71133,B cells
3.21447,20.94955,B cells
2.25568,18.70716,B cells
2.31152,21.31413,B cells
3.55837,19.02955,B cells
0.0597,19.53938,B cells
0.68067,19.91247,B cells
3.06544,20.43999,B cells
1.86693,17.96462,B cells
2.02047,18.4397,B cells
1.93831,20.19856,B cells
2.29786,21.32526,B cells
1.42451,18.5251,B cells
1.01417,18.37411,B cells
3.20689,20.34369,B cells
3.01663,18.91822,B cells
0.93209,17.92986,B cells
3.42357,20.25826,B cells
0.4887,20.1554,B cells
3.78709,20.24611,B cells
2.60615,18.48479,B cells
1.19935,18.70284,B cells
0.81856,19.28265,B cells
2.37482,21.14694,B cells
