order,sample,cell_type,proportion
36,P31-LN1_1,T/NK cells,0.6376784372652141
37,P32-LN1,B cells,0.5090370370370371
37,P32-LN1,Dendritic cells,0.0025185185185185185
37,P32-LN1,Endothelial cells,0.005481481481481481
37,P32-LN1,Epithelial cells,0.002962962962962963
37,P32-LN1,Fibroblasts,0.0
37,P32-LN1,Hepatocytes,0.0
37,P32-LN1,Mast cells,0.0014814814814814814
37,P32-LN1,Monocytes/Macrophages,0.0044444444444444444
37,P32-LN1,Neutrophils,0.0007407407407407407
37,P32-LN1,Pericytes,0.00014814814814814815
37,P32-LN1,Plasma cells,0.0035555555555555557
37,P32-LN1,T/NK cells,0.4696296296296296
